feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
2.6317985,2.4618447,3.5457337,-1.2378155,2.1330333,-1.9520878,-0.15178509,0.5883172,0.28099188,-0.6226995,-0.20812225,-0.49300092,-0.58936477,0.8496021,0.3570155,-0.6929096,0.89959985,0.30729952,0.8128621,0.62962884,1
1.6892862,1.239533,2.7070105,0.6103703,-0.020901594,0.117327385,1.2776649,-0.5915714,0.5470974,-0.20219265,-0.2176812,1.0987768,0.8254163,0.81350964,1.3054788,0.021003842,0.68195295,-0.31026676,0.32416636,-0.13014306,1
2.6152773,2.394871,1.1414962,2.0923872,-1.0060173,-1.2141886,1.1581109,0.7916627,0.6241198,0.6283455,-0.012246773,-0.89725435,0.07580456,-0.6771617,0.9751197,-0.14705738,-0.8254972,-0.32138583,0.41293144,-0.5637246,1
-0.8310877,0.7347533,0.4857027,-0.50694317,-0.4710383,0.23204994,-1.4480844,-1.4074638,-0.7184442,-0.21344715,0.31090757,1.4753562,0.85765964,-0.15993853,-0.019016208,-1.0025294,-0.018513136,-0.28865865,0.32271856,-0.82723093,0
3.0376277,3.3324528,1.8509568,0.40171173,0.690144,-0.40122047,0.22409248,0.0125924,0.0976761,-0.7730098,0.024510175,0.4979983,1.4511436,0.95927083,2.1531825,-0.7673476,0.87232065,0.18334201,2.189803,-0.8082983,1
1.6785593,1.2003213,-0.16417873,-0.52575505,-0.7591327,0.15039378,0.341756,1.8761709,0.95042384,-0.57690364,-0.8984147,0.49191916,-1.3202332,1.8314588,1.1794401,-0.46917567,-1.7131345,1.3538724,-0.11453985,1.2378163,1
0.9238535,1.200339,1.9649606,0.046980593,-0.45006546,0.62284994,-1.0676204,-0.14237948,0.12029563,0.5144388,0.7116149,-1.1246421,-1.5341141,1.2776768,0.332314,-0.7484865,1.551152,0.11567464,1.1792972,0.06751848,1
2.0518806,2.246407,-0.008228034,0.97157097,0.64537597,1.3686316,-0.96492344,0.6860515,1.0584245,-1.7587395,-1.1832585,-2.0392323,-0.26940683,0.71754223,1.502357,0.07409478,1.6286155,-1.3801014,-1.7033825,-0.0555477,0
2.9023466,1.7670193,-0.10772526,-0.08912004,-1.3044695,0.66967255,0.36659825,-0.9398798,-0.5138669,-1.0592135,-0.0626791,0.9551423,-0.98572606,0.5040465,-0.53025764,-0.79287285,-0.10703036,-1.0352423,-0.5536493,-1.1978779,1
4.4830065,1.8349775,1.2599914,0.21397991,-0.11232805,-0.2209696,0.6141667,0.7575077,-0.5305011,-0.57581824,-0.27505168,-2.3019211,-1.5151911,1.3668742,1.6449677,-0.24903604,0.576557,0.31125015,3.0788808,1.1195749,1
2.3903637,0.84417355,0.35327065,0.20346363,-0.75635076,-1.4222537,-0.6465729,-1.081548,1.6871417,0.8816398,-0.007972641,1.4799441,0.077368304,-0.8612842,1.5231241,0.53891003,-1.0372461,-0.19033867,-0.8756183,-1.3827997,1
3.4444587,3.7091308,0.56114936,0.5629692,-0.6506426,-0.4871254,-0.59239393,-0.8639908,0.048521627,-0.83095014,0.27045682,-0.05023811,-0.23894805,-0.9075637,-0.5767713,0.75539124,0.5009172,-0.9775552,0.0993323,0.7513871,1
-1.6782726,1.0344262,-0.42188764,0.57059866,-0.7632592,-1.804882,-1.6275425,0.04808495,0.2597225,-0.9043166,0.6385925,-1.66152,-0.066079795,-1.2110162,-0.6518361,0.04739867,-0.8604134,-0.38455555,1.0062928,-0.5768919,0
0.8268248,-0.63864076,0.7705403,1.4415686,-2.4716444,-0.79689527,0.57707214,-0.20304538,0.37114587,-0.6039852,0.08658979,-0.15567723,1.1677821,0.25442085,0.33760267,-0.41187698,-0.48760623,-0.43255818,0.39445215,-0.42098448,0
2.808056,3.875115,2.8308415,-0.32602352,1.201214,-0.40807536,-2.0381246,-1.0080863,-1.8707919,-0.35151348,0.01841838,1.6764373,0.32692736,-0.21910053,0.8294056,-2.2111354,0.23561455,0.7708652,-1.4785862,1.143754,1
2.8567777,1.3844261,2.5924988,2.2706928,0.18186626,0.2482206,-0.4593609,-0.8498444,0.8303358,-0.8560838,0.07156624,-0.47765744,0.47897983,0.3336621,1.03754,-0.5100164,-0.26987493,-0.9787637,-0.44429326,0.3773005,1
3.27527,0.87754864,2.8293228,1.3556379,0.4134349,1.8767958,-0.7737892,-1.2446547,-1.7787203,1.4960443,0.65436566,-0.05558467,0.27996862,-1.125489,2.445752,0.12922119,0.109394796,0.7257666,0.48100924,0.22388403,1
-0.7993418,0.9625344,2.1227605,1.34542,1.5931866,-0.5112157,-0.98960483,-0.12578692,0.05572491,1.0941916,-1.6924646,1.5295503,-0.1580079,-0.42688107,-1.0121044,-1.6548567,0.8231706,0.07331797,-1.2899609,-1.2950788,0
-0.34465203,2.1600876,-0.018855229,-1.503143,-0.24574307,-0.27272356,-2.6968865,-0.054294866,-0.23093453,0.6962064,1.8489561,1.126565,-0.26888868,-1.1065259,2.5733597,0.059218433,0.013929292,-0.024125088,0.19808476,-0.14436041,0
1.9446192,1.2528551,1.9269637,-0.5434248,-0.7128458,0.106430225,-0.25497723,1.503993,-2.6509697,1.0915068,1.2460852,-2.0733902,-0.3426876,-0.37144086,-1.4075117,-0.7778167,-1.1105758,1.7522705,0.9356784,1.2715551,1
3.2399533,0.67066216,1.4351966,0.48937455,-1.2221278,0.71299845,-0.24032539,-0.3748208,0.71096,0.4442633,-0.36096618,1.1593298,-1.0810633,0.6159356,0.59310126,-0.30954644,0.326133,-1.2511135,0.924027,-0.18490213,1
1.9955583,2.8487232,1.2553732,-1.4084613,-1.5566292,0.60600996,-1.2804294,1.7547942,-2.0819294,1.6964563,0.21101747,-0.09671311,-0.5449191,0.39913613,-0.037634704,1.1033019,0.114227645,0.15030175,-0.3636122,-0.056945622,1
0.29893446,-1.2191023,-1.1074493,0.7432641,0.17086543,-0.18398334,0.018433932,0.3475817,-0.5397597,-0.7783047,0.19584526,-0.97837275,0.40825275,-1.7025836,1.0291556,0.47259748,0.25602973,0.982691,1.6654744,1.0143701,0
0.677407,0.52013695,1.3348984,0.02609105,0.517659,-0.72574383,0.18676676,-0.75538296,-0.6115178,-1.4066612,-0.9232333,-1.3516846,-0.97587323,1.0536418,-0.9493989,2.6323822,0.4933179,0.18483612,-0.8583578,0.7003099,1
1.9426434,1.9217238,4.5198016,-0.096059896,1.1492733,-0.70317644,-0.03498849,1.7708006,-0.6269671,1.8124485,0.7077519,-0.5624668,0.6324077,0.97255445,0.62180996,-1.5702248,-0.72713715,-0.24751863,-0.07443343,0.6206721,1
0.16883366,-0.8442782,0.62093395,0.61058575,0.55979043,1.0807807,0.83392215,0.4591801,-0.07016571,-1.6609609,0.4296182,0.20768769,0.27157885,-1.2767485,-1.0810566,1.0531528,-0.039555155,0.6815007,0.028318375,0.02975614,0
0.9294165,-0.024978638,0.3368569,-0.4622753,-0.43449622,-0.30917212,0.22213377,-0.47874862,1.2557561,-0.8946073,-0.18687165,-0.43973106,1.4469779,0.19655478,1.0318445,-1.4855604,0.26705027,0.8896308,0.08228399,1.0654804,0
-0.52615577,1.9004135,2.5396342,-0.36283857,-0.44550252,1.4533845,1.5795722,-0.52286005,-0.42018682,-0.2817846,-1.3444505,-0.91865194,-1.0041407,-0.7677976,-0.03468489,0.23421474,1.5505005,-0.998354,0.98432237,-0.21398884,0
2.4688175,2.4745336,0.8369949,0.38240975,0.16645221,0.49245125,0.28916866,2.4553,-0.63773996,-0.530997,-0.6231405,-0.55547714,-0.63738716,1.1890166,1.4205042,-0.5707463,-0.83235556,0.47141555,-0.552223,0.6329318,1
0.19405568,-1.024678,1.7882414,1.7958777,-0.6127887,-0.38770157,0.2858654,0.3344568,0.6585443,2.0102046,-0.17694722,-0.7982972,-1.3793192,-0.73093003,-0.033126973,1.7945578,-0.5176113,0.22378795,-0.016422896,1.1883932,0
5.0452137,1.2688452,1.4702775,1.0441608,0.6818915,1.8467073,0.58392817,-0.3592921,0.59065485,1.1087036,0.8204822,0.50727403,1.0666747,1.1692955,1.382159,0.6487099,-0.16711809,0.14671369,1.206509,-0.81693566,1
2.8869545,1.4063752,1.9884617,1.2784519,0.19109906,0.04643655,-1.3598561,0.74625355,0.6454842,2.1632547,-0.30777824,0.21915033,0.24938369,1.5774533,-0.09529553,0.27902153,0.6078965,0.18660912,-0.4464336,0.19409,1
1.0647644,-0.53544915,0.3737058,-0.7001208,1.1950467,-1.5231869,-0.5589219,0.37721187,1.565524,-0.06575026,-0.5551995,1.881157,-1.4480139,-2.198806,0.44001445,-0.5020542,-1.0212328,0.70835644,0.24380071,-0.5640786,0
1.2379768,2.6721714,2.609918,-0.09917586,1.846637,-1.0700848,-1.5255252,-0.69190806,-0.045586016,0.24333945,-0.24123606,0.3520554,-1.2515395,1.4437646,-0.08215118,1.1172959,0.34272534,0.45675322,0.5697673,0.44770855,1
0.63385546,1.8202187,0.4372573,0.70900375,-0.089735694,1.4401172,-0.6763923,1.8009404,-0.04015795,-1.430775,0.12810442,-0.6810517,0.8406435,-0.65262395,-0.44618344,-1.8895407,-0.45230633,-2.4238794,-1.5839028,0.76041466,0
3.3040814,2.2251716,0.99274075,-0.047711357,-0.0036025392,-1.1583647,1.5033983,0.8773623,-0.22096418,0.02688584,0.20838282,-2.041735,-0.24717738,-0.68198425,-1.00162,-0.2811003,1.7976866,0.64084285,-0.571179,0.5725828,1
3.9176366,2.7243476,2.0193472,-0.6469368,0.6982233,0.3934854,0.8951932,0.63517183,1.0495527,-0.5352352,1.317394,0.1975996,2.0752609,-0.6891878,1.7359638,0.19791079,-0.65141803,-0.48388582,-0.3203473,0.42416593,1
3.0411167,1.2260139,1.9353623,2.1422703,1.7275431,0.43632367,0.03800348,0.12003133,0.613518,-1.0227926,-0.25737655,-1.6685841,0.39922312,0.64719594,-0.48318645,1.5739868,-1.2257657,-1.4643749,0.22445183,1.0470983,1
4.202209,1.3408297,3.0383978,-0.03850847,-0.1726273,0.88365996,0.6523229,-1.5763922,1.4765403,1.3800913,-0.6255627,0.39580354,0.49403018,0.26067376,-0.5503051,-0.67162335,-0.02555407,1.172729,0.54360014,-0.37061432,1
0.7628314,-2.3574767,1.3895018,-1.7397138,-0.36244094,-1.1196699,-1.2946814,1.1608268,-0.4677012,0.34650388,-0.04692058,0.47704083,0.07682189,-1.2829922,0.99626684,-0.4937566,-1.5565819,-0.42811516,1.5007598,0.85022175,0
2.169629,1.4504563,1.6380819,2.076748,0.38193545,0.43004164,1.0302835,0.23878916,-0.25904214,-0.19634984,-0.07160126,-0.037222236,0.72762954,0.051945888,0.7326401,-0.08071658,0.07863519,-1.9982007,0.91632766,0.34648848,1
3.5162914,-1.0965415,4.0480914,-0.13958962,1.1081828,-1.0399059,0.6127739,-1.0534155,-0.623769,1.9140314,-0.1906824,0.21743287,0.8700677,0.49568188,0.1504189,0.364961,2.4034157,-0.057618797,0.20109905,1.0506544,1
1.0966586,1.6780964,0.87946635,-1.1430049,1.6334316,-1.1463454,0.30263546,-0.75427586,-0.064138345,0.3287624,0.32135722,0.42192075,1.6137112,0.4535343,-0.24415663,0.9640872,1.1894705,-1.2276078,0.59740007,0.70117277,0
-0.30643082,1.8667729,0.090680525,0.12557645,-0.17307183,0.015579048,-1.0962751,-1.4400508,1.5945051,-0.8469613,-0.9913924,-2.1533902,-0.63896173,-1.3230898,1.6420152,1.0098171,-0.68815035,2.252436,0.9817655,-0.3248314,0
0.018875599,4.0906568,0.5701444,-1.6453987,1.0225705,2.4397523,1.3842728,0.5639091,0.59475434,0.85341555,0.7589286,0.28119144,0.1042011,-0.062593125,-0.7539646,-0.28067508,-1.6929568,-0.098339625,-0.98859113,-1.1035893,1
0.17102681,1.8830684,1.1590527,-1.5705006,-0.98962814,0.94077116,-0.9824874,-0.22463316,0.5500521,-0.96834445,0.105375506,-1.3340255,-0.60136765,0.31978193,-1.5929937,0.44047475,-0.019637799,0.55248994,0.22391413,1.3641404,0
0.11635716,0.061660558,0.36303362,0.543298,0.04886007,0.04059169,-0.7019917,-0.6629009,-1.4026053,1.7495767,-1.2438632,-0.6929052,-0.7184073,0.8949244,-0.29494968,1.247742,-0.67349064,0.27899417,-0.83534706,2.1451492,0
1.3306828,2.1095347,2.593494,0.4137991,-0.18528765,-0.1298207,0.04381147,-0.147002,0.9638791,2.210523,-0.5574918,-1.369803,-0.08828205,2.5797093,-0.8036746,1.6391168,1.6777008,-0.5535883,0.5689831,1.6283966,1
-0.38799506,0.28748572,-0.34094477,-1.0147567,-0.64927757,-1.2239403,0.034083467,-0.7699732,0.23378591,-1.5558957,0.33088022,0.83352894,-1.9937357,0.37405658,1.227669,-1.209641,1.6725724,0.419019,-0.70501184,-0.05576908,0
0.5494596,0.5670715,0.77949214,-0.9206736,0.16936083,-1.4137145,-0.11122606,-0.90390766,-0.73552996,1.2360932,1.0913101,0.60913813,-1.0923128,-0.31640846,1.2130977,0.14171691,2.3193295,0.39331785,0.19204912,-0.30911645,0
2.651822,1.6472441,2.6678257,0.9567023,-0.78598946,-1.3312329,-1.8362054,0.5079913,-1.1033666,-2.1528907,0.3885786,2.4929996,-0.0060709114,0.8384908,0.08182936,-0.09888966,0.9190765,-0.29027453,0.2673923,0.3216978,1
1.8501908,2.7917564,1.7847571,-0.7557452,0.5365099,-0.89846796,0.028181158,-0.009118997,1.0858955,0.47469825,-0.025026958,0.8177663,1.3902075,0.5578103,0.01035262,-1.3118362,-1.0651137,-0.30522472,-0.6095122,-0.1869713,1
0.047782585,1.0207589,0.17023733,0.48650163,0.06447441,-1.9754666,-0.9393354,-0.14408755,-1.2096947,0.59992874,1.5307509,1.2187618,-0.21344288,1.4907261,0.14866745,-0.33708596,-0.61340266,-0.3024697,-0.38817683,0.17041622,0
2.6788552,1.80276,2.396655,1.1906463,0.94955415,-1.484898,-2.5539212,0.9343199,-1.3668787,-0.2247654,-1.170113,-1.8019805,0.5414627,0.75915515,-0.5765104,-2.5910423,-0.54624444,0.391804,-1.4789115,0.18335992,1
-0.024177186,1.0703576,0.3603165,-0.97306895,1.1965715,-0.15852958,-0.02730454,-0.93326795,-0.44328225,-0.8848027,-0.17294607,1.7117084,-1.3719012,-1.6135614,1.4711703,-0.20932367,-0.66907275,1.0399047,-0.60561556,1.8260098,0
0.66905856,0.003154695,2.398044,-0.6057149,0.74209535,0.2992926,1.3017412,1.5615112,0.032004148,-0.75341785,0.45997214,-0.67771536,2.0133872,0.13653533,-0.36532155,0.18468031,-1.3471262,-0.97161406,1.200414,-0.65689427,0
1.4713702,2.3363667,3.145421,0.7189533,0.9960477,-0.7567951,-1.4218106,1.5013336,-0.32267985,-0.250833,1.3281941,0.55623,0.45588776,2.1650023,-0.6435182,0.9278401,0.057013124,0.26859227,1.5284684,0.50783575,1
0.5294288,1.5635735,-0.12421663,-0.8392097,-1.0448092,-1.9663566,2.0562072,-1.1032084,-0.22125362,-0.2768133,0.3074067,0.8157372,0.8604735,-0.58307743,-0.16712171,0.28257996,-0.24869113,1.6073456,0.49097496,0.73487777,0
3.1811624,2.973188,2.1407385,-1.296832,0.39968795,-0.6513569,-0.52861667,0.58636403,1.238283,0.021271577,0.308833,1.702215,0.24075317,2.6016831,0.5655096,-1.7607628,0.7533416,0.38115838,1.2897527,0.67318135,1
-0.14732333,-0.73323214,0.03171286,-0.85052043,-0.58052343,0.5885784,1.6699045,0.39467153,-1.195883,0.44460267,1.1966314,-0.6097829,-0.13401717,0.014688195,-0.78489834,0.64828044,-0.12094815,0.41953245,-0.8874922,-0.4374583,0
3.2406626,1.4268808,3.6866808,-0.39963618,0.22468473,0.93259084,-1.4183657,-1.7608088,-1.5256563,1.2625841,-0.5518581,2.5581992,-0.5642476,0.1845513,1.54211,2.0060928,2.0615036,1.2083663,1.0240625,0.592527,1
0.76949376,-0.06011963,-0.57746273,-0.0033744574,-0.17018463,-0.45322806,0.69638747,0.9553052,0.08840688,1.4775301,-1.1416891,-0.19365945,-0.7168223,-1.8665366,-0.08268069,-0.12174751,1.5134498,0.6308117,-1.0241868,1.8540926,0
3.739315,2.3818116,1.7332329,-0.9594392,-0.37220678,1.0887486,1.8845863,1.5432435,-0.48884943,-1.1196175,0.14088625,-1.7684394,0.3231677,-0.14760259,-0.4660365,-1.5947031,0.5136001,-0.53270084,-1.1699169,-2.8722622,1
2.4907663,3.5719657,3.620976,-0.45709625,-0.6022121,0.46877426,-0.9983854,0.3017919,0.76608026,1.2269332,-0.10015408,-0.20367375,-0.8779826,-0.82688034,-0.22647889,0.3673655,0.91358465,-0.80317897,1.4926885,-0.2711236,1
-0.030234631,-0.2561456,-2.1835043,0.8840454,0.7368439,-0.28132755,0.06699072,0.51593924,-1.5625459,-0.5290527,0.7942647,-1.2542894,0.29355794,-1.3565818,0.46642998,-0.035641484,-1.6151319,1.1647394,-0.7345916,-0.8102524,0
2.7188504,2.9483514,0.9438951,0.06167985,0.4288165,0.6931056,0.17644155,-0.36702785,-0.8275902,0.08614388,-1.072139,-2.9213505,0.4365598,0.90393484,-2.3629324,-1.0097307,0.6191543,2.0574954,0.020793708,-0.72800297,1
-0.19176377,1.8659425,-0.40522808,-0.799192,-0.48274353,-0.9533286,0.122670315,1.6246785,0.3230793,-0.2523535,-0.29181126,-1.5631908,0.88310975,-0.0778372,-0.18047991,3.1931076,0.2987529,-0.75179106,-0.4263576,1.1484457,0
0.10440307,-0.94721186,1.159965,-0.6681441,1.8732978,1.0800481,-0.4473219,1.2810163,0.06785551,0.85277367,0.4847328,-0.84635663,-0.64354986,1.0299609,-0.33477533,-0.40364847,-0.9551226,0.42359906,2.062525,-1.0675329,0
2.5425007,3.2119346,1.8800756,0.4523718,-1.0623935,0.4283071,-0.18714426,0.98573,1.187386,2.5895636,0.5796332,0.3257963,0.1943843,-0.35316628,0.33848384,-0.29540142,0.16846098,1.3175975,-1.0065426,1.1398785,1
3.8353963,1.6816454,-0.16213787,-0.607822,1.2969946,-0.022868061,-0.9993022,-0.5047749,0.84062004,0.54673356,-0.2389321,-0.36682442,-0.39175814,-0.9224102,1.6153756,-0.32232046,1.2171586,1.521316,0.9983109,-0.4316203,1
0.39486277,0.4668705,-0.6629657,0.32435927,-1.1790398,1.1876794,-0.4646173,0.20115966,0.28328788,-0.25890496,0.5866938,-0.47490364,0.8712973,-1.3459797,0.12637958,1.938929,-1.0003313,-0.677745,0.51390785,0.17958178,0
0.34176278,0.9802532,0.8754576,1.1096998,0.40981865,-0.24125765,0.6725737,1.899882,-0.13263375,-0.9745293,1.1070807,-0.12038116,-2.1726696,0.8474217,-0.5353282,-0.09053328,0.33198032,0.19049968,0.7094518,-0.43548638,0
3.031387,1.5401673,2.6985273,0.6153675,-0.9354387,1.0859821,-0.5359634,0.8080578,0.3672873,1.8381836,-0.22346598,-0.3493168,-0.019419607,-0.30317977,0.7999419,-1.6163106,-1.0536824,-1.0678029,0.9503076,1.7106134,1
-0.11331656,0.32224438,0.31078827,1.1618783,-0.92735314,0.23836899,0.9751976,0.50109416,0.18958162,1.0010461,-2.7032323,0.67787534,-0.6540757,-1.8306329,0.5112026,1.3736585,-0.13744852,0.95287454,1.6122782,1.3149145,0
4.158246,2.5418415,2.0351505,-1.6019658,-0.24606249,-0.8432466,2.1709428,-0.17588581,0.123204805,0.55148536,0.043602448,1.6950511,-0.6226494,0.19460745,-0.74247056,-1.3200225,-0.6117691,-0.0370368,-0.42930222,-0.69242096,1
-1.4151849,0.40796053,-1.2639842,0.76005596,0.08243975,-1.4575515,-0.30920908,-0.7521564,0.3191745,1.3404504,-1.8751725,0.11502608,-0.1601328,0.67134005,0.21319664,-0.75196934,-0.31905395,-0.7960259,1.0760071,0.021311648,0
1.8923233,0.4304053,-0.46767062,-1.5137144,-1.8031397,-1.5841359,0.26712665,0.50872505,-1.5811907,0.8950383,-0.48306105,0.14679301,1.6122206,0.8968393,-0.26853064,-0.8911922,-2.1518154,-0.71915334,-0.21113023,-0.9871795,0
2.3870242,1.8765658,1.7348609,-0.6500026,0.16865467,0.44194064,-1.090399,1.4109324,-0.09858813,0.018849622,0.7082144,0.23321614,0.9531366,0.28712416,-0.61243737,0.3615035,-1.1437262,0.108559705,-0.03322999,-0.20811686,1
-0.13740484,-1.390783,-0.30798876,0.0928449,0.1598564,-1.0276752,1.2657079,-0.8661749,0.9694572,0.42719436,-0.6462273,1.7753109,-1.1936368,0.91915417,1.0005823,-0.6706202,1.3924654,-0.25004652,0.28869364,0.26032183,0
-0.14317608,1.3018744,1.0342249,-1.7485319,1.3043402,-1.662492,1.0325462,1.1267052,-1.0909665,-0.4108143,-1.1057047,-0.21492103,-0.30803427,0.7796605,1.3103087,1.3956838,-0.562168,-0.20922187,-1.6834382,-0.80587006,0
0.9559843,2.106649,-0.99361277,-0.59246427,-0.026405757,0.28016117,-0.8096035,0.42406103,-0.47383934,-0.014452271,0.54628426,0.0064222696,-0.4363859,-0.109609805,-0.08836296,-0.37001103,-0.25879607,1.5986471,0.56091946,-0.2954803,0
0.6880871,0.15724662,1.4138608,0.3696422,-0.107302144,0.44771692,-1.5708761,-1.1267675,-1.193925,0.1429431,1.732515,2.2313,0.6380511,0.5008445,-1.8010577,-0.5426738,-0.78778374,-0.6208476,-0.16814382,-0.47209057,0
0.53898144,2.547624,0.88697386,0.23924686,2.0740826,-0.9193846,-2.5302875,-0.28600422,1.1009597,1.9583474,-1.2295496,0.4966992,-0.46531045,-0.10594835,2.6443434,-1.5029703,0.25373966,0.46769318,1.0857863,0.09798315,1
2.8263319,1.4080654,2.228844,-0.34319228,0.6215719,-0.36961034,0.3771004,-0.029262813,1.1260502,-0.051393725,-1.7730324,1.2619215,-0.9057323,-0.65376633,-0.5956613,1.374438,-2.1356742,3.1377485,1.0560569,0.22323892,1
-0.06376134,0.77662015,0.7618586,0.6452156,0.55560446,0.089580685,-0.19733842,-0.15127328,-0.19490828,1.1337701,0.5935567,-2.9403887,0.6559008,0.1947362,-0.018708756,-0.38851845,1.1241127,0.94752645,-0.7728777,0.40705228,0
1.5466244,0.4200958,1.3329997,0.8623935,0.95312506,0.5130854,0.7250958,0.5161783,-0.6414816,0.43192255,0.8004095,0.75429136,1.1889133,0.70830387,0.3514482,1.0701503,-0.02652126,-0.8818747,-0.16306697,-0.7449027,1
-0.6840456,0.34654742,-0.5516838,-0.30796152,-1.8936146,0.2132937,0.0012054754,-0.8170886,0.65924567,0.93757015,-1.6075599,-0.76272476,-0.7691423,-0.9399031,0.82947487,-0.19382614,-0.26451483,-2.0038624,0.63541806,-1.2392584,0
0.051065292,0.76844305,1.6013948,-1.3088204,-3.0195122,0.18384954,1.8005112,1.2389463,0.20965941,-0.4916362,0.8071226,-0.9735462,0.47635776,0.50547016,1.0602099,2.75966,0.39241597,-0.50896364,-0.025574312,-1.7690759,0
-0.70358044,0.08178365,-0.28335226,0.15235487,-0.82241994,1.1210307,0.00020706492,-0.009300321,-0.32789472,0.15519068,0.8250983,-0.8671302,-0.65811646,-0.30372602,-1.345871,-0.81925786,-0.47622088,0.8743892,0.26256132,0.19358991,0
0.84203064,0.35369432,0.63120097,-0.10322175,0.26536235,-0.58275867,-2.4388173,-0.13427916,1.4227481,0.9262154,0.9653975,1.2361307,0.08865759,0.19731571,-0.6176519,-0.31607285,0.6157712,1.2038845,-0.13944627,-0.45018926,0
-0.008339379,1.0922728,-1.2031187,-2.296181,-0.5505369,-1.2207124,-0.5081402,-0.14778031,-0.4532484,1.4524676,0.32674477,0.30047435,0.62220716,-1.1388332,1.0391117,-0.07576428,0.6704806,-1.0718572,-1.5537587,0.81788963,0
0.3675422,-0.41098547,-0.62892693,1.1254348,-1.1894119,1.6426729,-0.90062076,0.6383919,-0.32861847,0.60318744,-0.544114,-0.1627929,0.040919177,-1.0021875,0.74082434,-0.5132136,-0.22859992,-0.99434936,-2.5623336,-0.19102776,0
